2:28 PM | MSG | Starting ...
2:28 PM | MSG | Loading info ...
2:28 PM | MSG | Connecting ...
2:28 PM | MSG | Connected, setting up ...
2:28 PM | MSG | Setup finished.
2:28 PM | MSG | Bot is ready.
2:33 PM | UPDATE | Update has no news.
2:38 PM | UPDATE | Update has no news.
2:43 PM | UPDATE | Update has no news.
2:48 PM | UPDATE | Update has no news.
2:53 PM | UPDATE | Update has no news.
2:58 PM | UPDATE | Update has no news.
3:03 PM | UPDATE | Update has no news.
3:08 PM | UPDATE | Update has no news.
3:13 PM | UPDATE | Update has no news.
3:18 PM | UPDATE | Update has no news.
3:23 PM | UPDATE | Update has no news.
3:28 PM | UPDATE | Update has no news.
3:33 PM | UPDATE | Update has no news.
3:38 PM | UPDATE | Update has no news.
3:43 PM | UPDATE | Update has no news.
3:48 PM | UPDATE | Update has no news.
3:53 PM | UPDATE | Update has no news.
3:58 PM | UPDATE | Update has no news.
4:03 PM | UPDATE | Update has no news.
4:08 PM | UPDATE | Update has no news.
4:13 PM | UPDATE | Update has no news.
4:18 PM | UPDATE | Update has no news.
4:23 PM | UPDATE | Update has no news.
4:28 PM | UPDATE | Update has no news.
4:33 PM | UPDATE | Update has no news.
4:38 PM | UPDATE | Update has no news.
4:43 PM | UPDATE | Update has no news.
4:48 PM | UPDATE | Update has no news.
4:53 PM | UPDATE | Update has no news.
4:58 PM | UPDATE | Update has no news.
5:03 PM | UPDATE | Update has no news.
5:08 PM | UPDATE | Update has no news.
5:13 PM | UPDATE | Update has no news.
5:18 PM | UPDATE | Update has no news.
5:23 PM | UPDATE | Update has no news.
5:28 PM | UPDATE | Update has no news.
5:33 PM | UPDATE | Update has no news.
5:38 PM | UPDATE | Update has no news.
5:43 PM | UPDATE | Update has no news.
5:48 PM | UPDATE | Update has no news.
5:53 PM | UPDATE | Update has no news.
5:58 PM | UPDATE | Update has no news.
6:03 PM | UPDATE | Update has no news.
6:08 PM | UPDATE | Update has no news.
6:13 PM | UPDATE | Update has no news.
6:18 PM | UPDATE | Update has no news.
6:21 PM | COMMAND | hello
6:21 PM | COMMAND | say super_secret_admin_channel test
6:22 PM | COMMAND | exit
6:22 PM | MSG | Bot is closing ...
6:22 PM | MSG | Bot is closed.
11:32 PM | MSG | Starting ...
11:32 PM | MSG | Loading info ...
11:32 PM | MSG | Connecting ...
11:32 PM | MSG | Connected, setting up ...
11:32 PM | MSG | Setup finished.
11:32 PM | MSG | Bot is ready.
11:37 PM | UPDATE | Update has news.
11:42 PM | UPDATE | Update has no news.
11:47 PM | UPDATE | Update has no news.
11:52 PM | UPDATE | Update has no news.
11:56 PM | COMMAND | exit
11:56 PM | MSG | Bot is closing ...
11:56 PM | MSG | Bot is closed.
11:56 PM | MSG | Starting ...
11:56 PM | MSG | Loading info ...
11:56 PM | MSG | Connecting ...
11:56 PM | MSG | Connected, setting up ...
11:56 PM | MSG | Setup finished.
11:56 PM | MSG | Bot is ready.
12:01 AM | UPDATE | Update has no news.
12:06 AM | UPDATE | Update has no news.
12:11 AM | UPDATE | Update has no news.
12:16 AM | UPDATE | Update has no news.
12:21 AM | UPDATE | Update has no news.
12:26 AM | UPDATE | Update has no news.
12:31 AM | UPDATE | Update has no news.
12:36 AM | UPDATE | Update has no news.
12:41 AM | UPDATE | Update has no news.
12:46 AM | UPDATE | Update has no news.
12:51 AM | UPDATE | Update has no news.
12:56 AM | UPDATE | Update has no news.
