1:12 AM | MSG | Starting ...
1:12 AM | MSG | Loading info ...
1:12 AM | MSG | Connecting ...
1:12 AM | MSG | Connected, setting up ...
1:12 AM | MSG | Setup finished.
1:12 AM | MSG | Bot is ready.
1:13 AM | COMMAND | exit
1:13 AM | MSG | Bot is closing ...
1:13 AM | MSG | Bot is closed.
1:13 AM | MSG | Starting ...
1:13 AM | MSG | Loading info ...
1:13 AM | MSG | Connecting ...
1:13 AM | MSG | Connected, setting up ...
1:13 AM | MSG | Setup finished.
1:13 AM | MSG | Bot is ready.
1:18 AM | UPDATE | Update has no news.
1:23 AM | UPDATE | Update has no news.
1:28 AM | UPDATE | Update has no news.
1:33 AM | UPDATE | Update has no news.
1:38 AM | UPDATE | Update has no news.
1:43 AM | UPDATE | Update has no news.
1:45 AM | COMMAND | The Dragon Guardian has sent: !setplayer <@157594132783693824> AlexAK
1:48 AM | UPDATE | Update has no news.
1:53 AM | UPDATE | Update has no news.
1:59 AM | UPDATE | Update has no news.
2:01 AM | MSG | Reconnecting ...
2:04 AM | MSG | Reconnected.
2:05 AM | MSG | Starting ...
2:05 AM | MSG | Loading info ...
2:05 AM | MSG | Connecting ...
2:05 AM | MSG | Connected, setting up ...
2:05 AM | MSG | Setup finished.
2:05 AM | MSG | Bot is ready.
2:07 AM | COMMAND | Ianmy has sent: !itemstats wrap of determination
2:10 AM | UPDATE | Update has no news.
2:15 AM | UPDATE | Update has no news.
2:16 AM | COMMAND | exit
2:16 AM | MSG | Bot is closing ...
2:16 AM | MSG | Bot is closed.
2:17 AM | MSG | Starting ...
2:17 AM | MSG | Loading info ...
2:17 AM | MSG | Connecting ...
2:17 AM | MSG | Connected, setting up ...
2:17 AM | MSG | Setup finished.
2:17 AM | MSG | Bot is ready.
2:22 AM | UPDATE | Update has no news.
2:27 AM | UPDATE | Update has no news.
2:32 AM | UPDATE | Update has no news.
2:37 AM | UPDATE | Update has no news.
2:42 AM | UPDATE | Update has no news.
2:47 AM | UPDATE | Update has no news.
2:52 AM | UPDATE | Update has no news.
2:57 AM | UPDATE | Update has no news.
3:02 AM | UPDATE | Update has no news.
3:05 AM | COMMAND | The Dragon Guardian has sent: !setplayer <@221425380974657536> Vipsanius
3:07 AM | UPDATE | Update has no news.
3:12 AM | UPDATE | Update has no news.
3:16 AM | COMMAND | exit
3:16 AM | MSG | Bot is closing ...
3:16 AM | MSG | Bot is closed.
